id,title,app_name,price,sentiment,release_date,developer,discount_price,early_access,genres,metascore,publisher,reviews_url,tags,url
4050440,Starhood,Starhood,,,Developer:FirconEDPublisher:FirconED             2027,FirconEDPublisher:FirconED            Release Date: 2027,,False,"Indie, Simulation, Strategy",,Developer:FirconEDFirconED            Release Date: 2027,http://steamcommunity.com/app/4050440/reviews/?browsefilter=mostrecent&p=1,"Colony Sim, Strategy, Simulation, Space, Space Sim, Turn-Based Strategy, Tabletop, 2D, Minimalist, Indie, Hand-drawn, Hex Grid, Futuristic, Singleplayer",https://store.steampowered.com/app/4050440/Starhood/
3828880,Goofy Golfette,Goofy Golfette,¥ 1600,,"Developer:Tiba StudioPublisher:Tiba Studio             22 Jan, 2026","Tiba StudioPublisher:Tiba Studio            Release Date: 22 Jan, 2026",,True,"Action, Casual, Early Access",,"Developer:Tiba StudioTiba Studio            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/3828880/reviews/?browsefilter=mostrecent&p=1,"Early Access, Vehicular Combat, Score Attack, PvP, Destruction, Multiplayer, Golf, Shooter, 4 Player Local, Action, Top-Down, Arcade, Casual, Local Multiplayer, Stylized, Top-Down Shooter, Minimalist, Driving, 3D Fighter, 3D",https://store.steampowered.com/app/3828880/Goofy_Golfette/
2654710,Salmon Man,Salmon Man,¥ 800,,"Developer:Valem StudioPublisher:Valem Studio             22 Jan, 2026","Valem StudioPublisher:Valem Studio            Release Date: 22 Jan, 2026",,False,"Action, Adventure, Casual, Indie",,"Developer:Valem StudioValem Studio            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/2654710/reviews/?browsefilter=mostrecent&p=1,"VR, Difficult, Singleplayer, Physics, Action, Dark Humor, Adventure, 3D Platformer, Casual, Action-Adventure, Platformer, Exploration, Runner, 3D, Comedy, Funny, Narration, Precision Platformer, Score Attack, Parkour",https://store.steampowered.com/app/2654710/Salmon_Man/
4208460,A Bad Christmas Story,A Bad Christmas Story,¥ 580,,"Developer:S&amp;J GamesPublisher:S&amp;J GamesFranchise:Bad Summer             22 Jan, 2026","S&amp;J GamesPublisher:S&amp;J GamesFranchise:Bad Summer            Release Date: 22 Jan, 2026",¥ 522,False,"Adventure, Casual, Indie",,"Developer:S&amp;J GamesS&amp;J GamesFranchise:Bad Summer            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/4208460/reviews/?browsefilter=mostrecent&p=1,"Horror, Choices Matter, Interactive Fiction, Story Rich, Casual, Multiple Endings, Adventure, Dark, Detective, Investigation, Point & Click, Choose Your Own Adventure, Indie, 2D, Singleplayer",https://store.steampowered.com/app/4208460/A_Bad_Christmas_Story/
3958080,Pixel Shinobi,Pixel Shinobi,¥ 862,,"Developer:LevelUpStudios, LichanosPublisher:LevelUpStudios             22 Jan, 2026","LevelUpStudios, LichanosPublisher:LevelUpStudios            Release Date: 22 Jan, 2026",¥ 689,False,"Action, Adventure, Casual, Indie",,"Developer:LevelUpStudios, LichanosLevelUpStudios            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/3958080/reviews/?browsefilter=mostrecent&p=1,"Action, Adventure, Action-Adventure, Platformer, 2D Platformer, Precision Platformer, 2D, Pixel Graphics, Fantasy, Ninja, Indie, Casual, Retro, Combat, Hack and Slash, PvE, Singleplayer",https://store.steampowered.com/app/3958080/Pixel_Shinobi/
3898070,SUSPECTO,SUSPECTO,¥ 700,,"Developer:YORQ StudiosPublisher:YORQ Studios             22 Jan, 2026","YORQ StudiosPublisher:YORQ Studios            Release Date: 22 Jan, 2026",¥ 560,True,"Action, Casual, Indie, Strategy, Early Access",,"Developer:YORQ StudiosYORQ Studios            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/3898070/reviews/?browsefilter=mostrecent&p=1,"Early Access, Social Deduction, Stealth, Strategy, Assassin, Comedy, Action, Third-Person Shooter, PvP, Multiplayer, Team-Based, Arena Shooter, Detective, Artificial Intelligence, Conversation, Casual, Shooter, Hero Shooter, Third Person, 3D",https://store.steampowered.com/app/3898070/SUSPECTO/
4315920,Hunted Within: The Metro Demo,Hunted Within: The Metro Demo,,,"Developer:LRDev GamesPublisher:LRDev Games             22 Jan, 2026","LRDev GamesPublisher:LRDev Games            Release Date: 22 Jan, 2026",,False,"Action, Adventure, Indie",,"Developer:LRDev GamesLRDev Games            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/4315920/reviews/?browsefilter=mostrecent&p=1,"Horror, Atmospheric, Action-Adventure, FPS, Singleplayer, Action, Adventure, First-Person, Violent, Shooter, Stealth, Gore, Indie, Trains, Story Rich, Survival Horror, Combat, 3D, Survival",https://store.steampowered.com/app/4315920/Hunted_Within_The_Metro_Demo/
2099680,Rent A Car Simulator 24,Rent A Car Simulator 24,¥ 1500,Mixed,"Developer:2MEDYAPublisher:2MEDYA             22 Jan, 2026","2MEDYAPublisher:2MEDYA            Release Date: 22 Jan, 2026",¥ 900,False,"Casual, Racing, Simulation",,"Developer:2MEDYA2MEDYA            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/2099680/reviews/?browsefilter=mostrecent&p=1,"Simulation, Driving, Automobile Sim, Trading, Life Sim, Economy, Immersive Sim, Racing, FPS, Open World, Building, Modern, 3D, First-Person, Realistic, Co-op, Family Friendly, Multiplayer, America, Singleplayer",https://store.steampowered.com/app/2099680/Rent_A_Car_Simulator_24/
1670780,Out of Action,Out of Action,¥ 2300,8 user reviews,"Developer:Doku Games LTDPublisher:Doku Games LTD             22 Jan, 2026","Doku Games LTDPublisher:Doku Games LTD            Release Date: 22 Jan, 2026",,True,"Action, Indie, Early Access",,"Developer:Doku Games LTDDoku Games LTD            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/1670780/reviews/?browsefilter=mostrecent&p=1,"Early Access, FPS, PvP, Cyberpunk, Shooter, First-Person, Action, Bullet Time, Gun Customization, Dystopian, Sci-fi, Dark, Futuristic, Combat, Multiplayer, Singleplayer, Anime, Character Customization, Stylized, Gore",https://store.steampowered.com/app/1670780/Out_of_Action/
3947490,Chicken Fren,Chicken Fren,,,Developer:Iron Cock StudiosPublisher:Iron Cock Studios             Coming soon,Iron Cock StudiosPublisher:Iron Cock Studios            Release Date: Coming soon,,False,"Casual, Indie, Free To Play",,Developer:Iron Cock StudiosIron Cock Studios            Release Date: Coming soon,http://steamcommunity.com/app/3947490/reviews/?browsefilter=mostrecent&p=1,"Casual, Clicker, Idler, Collectathon, 2D, Pixel Graphics, Relaxing, Free to Play, Indie, Singleplayer",https://store.steampowered.com/app/3947490/Chicken_Fren/
4084360,Welcome To... Chichester 2 - Part I : DayRise,Welcome To... Chichester 2 - Part I : DayRise,,,Developer:Triority Interactive NovelsPublisher:Triority Interactive NovelsFranchise:Welcome To... Chichester             Q4 2026,Triority Interactive NovelsPublisher:Triority Interactive NovelsFranchise:Welcome To... Chichester            Release Date: Q4 2026,,False,"Action, Adventure, Casual",,Developer:Triority Interactive NovelsTriority Interactive NovelsFranchise:Welcome To... Chichester            Release Date: Q4 2026,http://steamcommunity.com/app/4084360/reviews/?browsefilter=mostrecent&p=1,"Casual, Action, Adventure, Visual Novel, Interactive Fiction, Anime, Colorful, Cute, Comedy, Dark Humor, Choices Matter, Female Protagonist, Story Rich, Text-Based, Singleplayer",https://store.steampowered.com/app/4084360/Welcome_To_Chichester_2__Part_I__DayRise/
4291950,Isla Paradiso,Isla Paradiso,¥ 1700,,"Developer:Paradiso StudioPublisher:Paradiso Studio             22 Jan, 2026","Paradiso StudioPublisher:Paradiso Studio            Release Date: 22 Jan, 2026",,True,"Indie, Simulation, Strategy, Early Access",,"Developer:Paradiso StudioParadiso Studio            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/4291950/reviews/?browsefilter=mostrecent&p=1,"City Builder, Strategy, Colony Sim, Simulation, Building, Economy, Management, Early Access, Survival, Indie, Base Building, 3D, Stylized, Resource Management, Singleplayer, Cozy",https://store.steampowered.com/app/4291950/Isla_Paradiso/
3134580,Alien Cartographer,Alien Cartographer,¥ 580,,"Developer:FachchefGamesPublisher:FachchefGames             22 Jan, 2026","FachchefGamesPublisher:FachchefGames            Release Date: 22 Jan, 2026",,False,"Indie, Strategy",,"Developer:FachchefGamesFachchefGames            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/3134580/reviews/?browsefilter=mostrecent&p=1,"Puzzle, Indie, Minimalist, Logic, 2D, Hex Grid, Abstract, Level Editor, Strategy, Difficult, Singleplayer, Sci-fi, Colorful, Tutorial",https://store.steampowered.com/app/3134580/Alien_Cartographer/
4349730,Anomalies - Dungeonomalies,Anomalies - Dungeonomalies,Free,,"Developer:Schmidt WorkshopsFranchise:Anomalies             22 Jan, 2026","Schmidt WorkshopsFranchise:Anomalies            Release Date: 22 Jan, 2026",,False,"Casual, Indie, Simulation, Free To Play",,,http://steamcommunity.com/app/4349730/reviews/?browsefilter=mostrecent&p=1,"Idler, Sandbox, Casual, Real-Time, Simulation, Surreal, Relaxing, Procedural Generation, Music-Based Procedural Generation, Stylized, Colorful, Abstract, Moddable, Psychedelic, Atmospheric, Futuristic, Indie, Singleplayer, Experimental, Music",https://store.steampowered.com/app/4349730/Anomalies__Dungeonomalies/
4245800,Idle Jumper,Idle Jumper,¥ 350,,"Developer:SneakFoxPublisher:SneakFox             22 Jan, 2026","SneakFoxPublisher:SneakFox            Release Date: 22 Jan, 2026",¥ 315,False,"Casual, Indie",,"Developer:SneakFoxSneakFox            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/4245800/reviews/?browsefilter=mostrecent&p=1,"Casual, Idler, 2D Platformer, Platformer, Singleplayer, Utilities, 2D, Cyberpunk, Indie, Resource Management",https://store.steampowered.com/app/4245800/Idle_Jumper/
4129960,Paquerette Down the Bunburrows - Supporter Pack 2,Paquerette Down the Bunburrows - Supporter Pack 2,¥ 350,,"Developer:BunstackPublisher:Abiding BridgeFranchise:Bunstack, Abiding Bridge             22 Jan, 2026","BunstackPublisher:Abiding BridgeFranchise:Bunstack, Abiding Bridge            Release Date: 22 Jan, 2026",,False,"Adventure, Casual, Indie",,"Developer:BunstackAbiding BridgeFranchise:Bunstack, Abiding Bridge            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/4129960/reviews/?browsefilter=mostrecent&p=1,"Pixel Graphics, Logic, Sokoban, Singleplayer, Puzzle, Exploration, Open World, Creature Collector, Difficult, Female Protagonist, Cute, 2D, Casual, Top-Down, Relaxing, Nonlinear, Indie, Minimalist, Stylized, Family Friendly",https://store.steampowered.com/app/4129960/Paquerette_Down_the_Bunburrows__Supporter_Pack_2/
4261740,Bladesong Soundtrack,Bladesong Soundtrack,¥ 920,,"Developer:SUN AND SERPENT creationsPublisher:MythwrightFranchise:Mythwright             22 Jan, 2026","SUN AND SERPENT creationsPublisher:MythwrightFranchise:Mythwright            Release Date: 22 Jan, 2026",,False,,,"Developer:SUN AND SERPENT creationsMythwrightFranchise:Mythwright            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/4261740/reviews/?browsefilter=mostrecent&p=1,,https://store.steampowered.com/app/4261740/Bladesong_Soundtrack/
4228830,Primordialis Soundtrack,Primordialis Soundtrack,¥ 1200,,"Developer:Kyler Natividad, Keith SammutPublisher:Kyler Natividad             22 Jan, 2026","Kyler Natividad, Keith SammutPublisher:Kyler Natividad            Release Date: 22 Jan, 2026",¥ 1080,False,,,"Developer:Kyler Natividad, Keith SammutKyler Natividad            Release Date: 22 Jan, 2026",http://steamcommunity.com/app/4228830/reviews/?browsefilter=mostrecent&p=1,,https://store.steampowered.com/app/4228830/Primordialis_Soundtrack/
